0,0,643.453000,-1902.411000,-314.585000,414038.574730,3619171.822690,98968.077910
0,50,644.272000,-1895.075000,-322.508000,415094.626940,3591331.125690,104025.928580
0,100,643.452000,-1850.906000,-319.087000,414036.053440,3425876.461700,101840.643010
0,150,643.628000,-1804.647000,-319.132000,414261.829240,3256765.095650,101857.928480
0,200,642.664000,-1753.916000,-316.867000,413028.141600,3076232.140440,100420.875670
0,250,644.241000,-1714.733000,-317.142000,415048.950410,2940328.422630,100590.421120
0,300,640.253000,-1669.819000,-320.667000,409926.396490,2788306.964570,102835.229930
0,350,641.231000,-1621.178000,-319.204000,411187.059890,2628231.504920,101917.623140
0,400,641.773000,-1577.127000,-317.086000,411877.852090,2487337.123970,100554.882960
0,450,640.807000,-1527.127000,-313.184000,410636.724010,2332129.532330,98100.282720
0,500,640.514000,-1482.623000,-310.713000,410265.437980,2198177.053870,96565.850250
0,550,640.207000,-1432.608000,-315.990000,409870.584610,2052373.181360,99860.685760
0,600,639.945000,-1389.169000,-314.206000,409535.151930,1929799.823910,98746.681240
0,650,637.021000,-1336.773000,-320.389000,405797.587350,1786981.354910,102657.516650
0,700,635.093000,-1290.836000,-318.505000,403349.317170,1666265.330640,101459.255970
0,750,634.698000,-1239.755000,-321.967000,402847.944760,1536994.447410,103670.188070
0,800,637.941000,-1191.639000,-316.341000,406972.605170,1420026.607210,100083.230230
0,850,635.882000,-1141.333000,-312.555000,404355.320060,1302642.628390,97702.858770
0,900,631.424000,-1092.298000,-314.761000,398705.911660,1193120.740420,99099.748410
0,950,631.059000,-1046.799000,-316.413000,398240.876750,1095794.979830,100142.250870
0,1000,628.281000,-999.532000,-316.032000,394741.732170,999070.371800,99883.080520
0,1050,631.350000,-949.750000,-314.293000,398606.408120,902029.745520,98783.962850
0,1100,631.673000,-905.977000,-319.498000,399015.870990,820800.199110,102096.990780
0,1150,628.896000,-853.713000,-317.100000,395514.622020,728831.076130,100567.431880
0,1200,629.202000,-809.121000,-316.867000,395900.039880,654685.507690,100420.641150
0,1250,629.071000,-757.776000,-315.229000,395732.313710,574236.575520,99374.639110
0,1300,636.247000,-709.251000,-316.866000,404941.294310,503043.273730,100412.295260
0,1350,627.799000,-662.701000,-321.836000,394139.861530,439184.742210,103590.244980
0,1400,631.161000,-616.646000,-322.186000,398372.587370,380260.303220,103810.389520
0,1450,625.402000,-566.984000,-318.956000,391129.587180,321477.371100,101744.353080
0,1500,627.505000,-519.963000,-320.887000,393768.684270,270366.280070,102975.194890
0,1550,623.604000,-468.898000,-317.757000,388890.173440,219869.961240,100980.672810
0,1600,628.778000,-419.439000,-316.237000,395366.426380,175933.821050,100026.696710
0,1650,623.386000,-371.470000,-313.548000,388620.130400,137998.914540,98319.365860
0,1700,619.482000,-323.019000,-313.330000,383760.011180,104344.546390,98187.634220
0,1750,621.338000,-276.135000,-316.473000,386065.903800,76254.260410,100169.197470
0,1800,622.757000,-228.311000,-314.090000,387836.390850,52128.900750,98666.096560
0,1850,622.553000,-179.569000,-316.660000,387578.922130,32248.369130,100296.411480
0,1900,624.042000,-129.218000,-315.770000,389435.423880,16707.127100,99729.226440
0,1950,625.125000,-83.469000,-314.528000,390782.825070,6972.215550,98933.760140
0,2000,621.134000,-36.875000,-316.442000,385811.183600,1364.003490,100139.457440
0,2050,623.298000,17.891000,-315.815000,388502.436460,325.248550,99749.218410
0,2100,619.584000,67.494000,-317.072000,383887.888840,4560.502080,100540.523240
0,2150,621.645000,113.446000,-312.467000,386453.753470,12874.464900,97640.984110
0,2200,619.834000,162.217000,-309.689000,384197.821640,26319.066730,95923.624110
0,2250,619.379000,211.939000,-311.064000,383634.091870,44923.481150,96771.565200
0,2300,617.144000,262.349000,-308.434000,380868.737840,68835.428030,95148.614800
0,2350,618.562000,308.346000,-311.181000,382622.736940,95082.635040,96866.255130
0,2400,618.724000,357.790000,-316.632000,382826.695920,128023.985820,100267.872840
0,2450,617.450000,406.121000,-312.262000,381254.578580,164935.907150,97513.085660
0,2500,619.263000,454.604000,-310.362000,383491.894650,206672.855120,96338.757520
0,2550,616.238000,502.805000,-315.303000,379752.907260,252822.198470,99422.740910
0,2600,615.522000,551.534000,-315.083000,378872.694980,304200.097820,99288.110230
0,2650,612.788000,596.376000,-314.792000,375517.959380,355669.233580,99114.238160
0,2700,616.267000,644.242000,-313.271000,379791.264770,415058.984740,98149.283690
0,2750,612.102000,694.579000,-313.154000,374672.995820,482444.311590,98074.224540
0,2800,613.665000,738.790000,-313.707000,376591.091410,545816.434420,98420.908930
0,2850,608.463000,786.496000,-307.732000,370231.576090,618582.542780,94723.830920
0,2900,611.371000,831.043000,-314.412000,373784.716750,690639.930810,98862.902340
0,2950,608.928000,880.693000,-318.358000,370797.508580,775628.007530,101359.750080
0,3000,610.172000,930.488000,-310.391000,372314.333200,865815.109920,96352.266650
0,3050,607.627000,978.866000,-312.805000,369213.714130,958188.427700,97860.991670
0,3100,606.430000,1023.107000,-315.696000,367763.157960,1046755.729670,99673.209960
0,3150,605.525000,1070.986000,-315.506000,366663.671650,1147021.050900,99549.219420
0,3200,606.211000,1122.887000,-316.574000,367495.021110,1260881.175950,100240.853900
0,3250,607.219000,1167.510000,-316.691000,368718.618130,1363084.448380,100303.568790
0,3300,605.290000,1216.487000,-314.411000,366379.845900,1479851.492570,98867.955250
0,3350,603.128000,1265.872000,-315.404000,363768.309700,1602439.295920,99490.288260
0,3400,602.557000,1313.870000,-310.523000,363084.031610,1726275.703080,96439.712210
